"","vaccine","manufacturer","name.age","brandname_tradename","date","year","cost","packaging","cost_type","age"
"47","Varicella• ¤","Merck","varivax.ped","varivax",2001-04-06,2001,39.14,"10 x 1 dose vial","cdc","ped"
"48","DTaP/¤","Aventis
Pasteur","tripedia.ped","tripedia",2001-08-02,2001,17.12,"10 x 1 dose vial","private","ped"
"49","DTaP/","Aventis Pasteur","tripedia.ped","tripedia",2001-08-02,2001,17.12,"15 dose vial","private","ped"
"50","DTaP/¤","GlaxoSmithKline","infanrix.ped","infanrix",2001-08-02,2001,18.5,"10 x 1 dose vial","private","ped"
"51","DTaP-Hib #","Aventis Pateur","trihibit.ped","trihibit",2001-08-02,2001,37.32,"5 x 1 dose vials","private","ped"
"52","e-IPV•¤","Aventis Pasteur","ipol.ped","ipol",2001-08-02,2001,15.42,"10 dose vial","private","ped"
"53","Hepatitis B-Hibi ¤","Merck","comvax.ped","comvax",2001-08-02,2001,38.25,"10 x 1 dose vials","private","ped"
"54","Hepatitis
A Pediatric¤","Merck","vaqta.ped","vaqta",2001-08-02,2001,25.17,"5 x 1 dose vial","private","ped"
"55","Hepatitis
A Pediatric¤","GlaxoSmithKline","havrix.ped","havrix",2001-08-02,2001,29.73,"10 x","private","ped"
"56","Hepatitis
A Adult¤","GlaxoSmithKline","havrix.adult","havrix",2001-08-02,2001,59.45,"1","private","adult"
"57","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","GlaxoSmithKline","engerixb.ped","engerixb",2001-08-02,2001,24.2,"10 x 1 dose vials","private","ped"
"58","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","Merck","recombivaxhb.ped","recombivaxhb",2001-08-02,2001,20.37,"10 x 1 dose vial","private","ped"
"59","Hepatitis B-Adult","Merck","recombivaxhb.adult","recombivaxhb",2001-08-02,2001,51.73,"10 x 1 dose vials 10 x 3 dose vial","private","adult"
"60","Hepatitis B-Adult•","GlaxoSmithKline","engerixb.adult","engerixb",2001-08-02,2001,51.73,"1 x 1 dose vial 5 x 1","private","adult"
"61","Hib•¤","Merck","pedvaxhib.ped","pedvaxhib",2001-08-02,2001,18.12,"10 x 1 dose vials","private","ped"
"62","Hib•¤","Wyeth/Lederle","hibtiter.ped","hibtiter",2001-08-02,2001,15.88,"5 x 1 dose vial","private","ped"
"63","Hib•¤","Aventis Pateur","acthib.ped","acthib",2001-08-02,2001,15.25,"5 x 1 dose vial","private","ped"
"64","MMR/¤","Merck","mmrii.ped","mmrii",2001-08-02,2001,28.19,"10 x 1 dose vials","private","ped"
"65","Measles•¤","Merck","attenuvax.ped","attenuvax",2001-08-02,2001,10.4,"10 x 1 dose vials","private","ped"
"66","Mumps•¤","Merck","mumpsvax.ped","mumpsvax",2001-08-02,2001,13.36,"10 x 1 dose vials","private","ped"
"67","Pneumococcal
7-valent•¤ (Pediatric)","Wyeth/Lederle","prevnar.ped","prevnar",2001-08-02,2001,58.75,"5 x 1 dose vial","private","ped"
"68","Rubella•¤","Merck","meuvaxii.ped","meuvaxii",2001-08-02,2001,11.457,"10 x 1 dose vials","private","ped"
"69","Varicella•¤","Merck","varivax.ped","varivax",2001-08-02,2001,45.56,"10 x 1 dose vial","private","ped"
"70","DTaP/¤","Aventis
Pasteur","tripedia.ped","tripedia",2001-08-02,2001,10.65,"10 x 1 dose vial","cdc","ped"
"71","DTaP/","Aventis Pasteur","tripedia.ped","tripedia",2001-08-02,2001,10.65,"15 dose vial","cdc","ped"
"72","DTaP/¤","GlaxoSmithKline","infanrix.ped","infanrix",2001-08-02,2001,10.58,"10 x 1 dose vial","cdc","ped"
"73","DTaP-Hib #","Aventis Pateur","trihibit.ped","trihibit",2001-08-02,2001,22.01,"5 x 1 dose vials","cdc","ped"
"74","e-IPV•¤","Aventis Pasteur","ipol.ped","ipol",2001-08-02,2001,8.25,"10 dose vial","cdc","ped"
"75","Hepatitis B-Hibi ¤","Merck","comvax.ped","comvax",2001-08-02,2001,21.38,"10 x 1 dose vials","cdc","ped"
"76","Hepatitis
A Pediatric¤","Merck","vaqta.ped","vaqta",2001-08-02,2001,11.15,"5 x 1 dose vial","cdc","ped"
"77","Hepatitis
A Pediatric¤","GlaxoSmithKline","havrix.ped","havrix",2001-08-02,2001,11.15,"10 x","cdc","ped"
"78","Hepatitis
A Adult¤","Merck","vaqta.adult","vaqta",2001-08-02,2001,17.2,"5 x 1 dose vials","cdc","adult"
"79","Hepatitis
A Adult¤","GlaxoSmithKline","havrix.adult","havrix",2001-08-02,2001,16.82,"1","cdc","adult"
"80","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","GlaxoSmithKline","engerixb.ped","engerixb",2001-08-02,2001,9,"10 x 1 dose vials","cdc","ped"
"81","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","Merck","recombivaxhb.ped","recombivaxhb",2001-08-02,2001,9,"10 x 1 dose vial","cdc","ped"
"82","Hepatitis B 2 dose•
Adolescent (11-15)","Merck","recombivaxhb.ped","recombivaxhb",2001-08-02,2001,23.75,"10 x 1 dose vials","cdc","ped"
"83","Hepatitis B-Adult","Merck","recombivaxhb.adult","recombivaxhb",2001-08-02,2001,23.75,"10 x 1 dose vials 10 x 3 dose vial","cdc","adult"
"84","Hepatitis B-Adult•","GlaxoSmithKline","engerixb.adult","engerixb",2001-08-02,2001,23.25,"1 x 1 dose vial 5 x 1","cdc","adult"
"85","Hib•¤","Merck","pedvaxhib.ped","pedvaxhib",2001-08-02,2001,8.1,"10 x 1 dose vials","cdc","ped"
"86","Hib•¤","Wyeth/Lederle","hibtiter.ped","hibtiter",2001-08-02,2001,6,"5 x 1 dose vial","cdc","ped"
"87","Hib•¤","Aventis Pateur","acthib.ped","acthib",2001-08-02,2001,5.75,"5 x 1 dose vial","cdc","ped"
"88","MMR/¤","Merck","mmrii.ped","mmrii",2001-08-02,2001,15.53,"10 x 1 dose vials","cdc","ped"
"89","Measles•¤","Merck","attenuvax.ped","attenuvax",2001-08-02,2001,6.9,"10 x 1 dose vials","cdc","ped"
"90","Mumps•¤","Merck","mumpsvax.ped","mumpsvax",2001-08-02,2001,9.24,"10 x 1 dose vials","cdc","ped"
"91","Pneumococcal
7-valent•¤ (Pediatric)","Wyeth/Lederle","prevnar.ped","prevnar",2001-08-02,2001,45.99,"5 x 1 dose vial","cdc","ped"
"92","Rubella•¤","Merck","meuvaxii.ped","meuvaxii",2001-08-02,2001,6.5,"10 x 1 dose vials","cdc","ped"
"93","Varicella•¤","Merck","varivax.ped","varivax",2001-08-02,2001,39.14,"10 x 1 dose vial","cdc","ped"
"94","DTaP/¤","Aventis Pasteur","tripedia.ped","tripedia",2001-10-04,2001,17.12,"10 x 1 dose vial","private","ped"
"95","DTaP/","Aventis Pasteur","tripedia.ped","tripedia",2001-10-04,2001,17.12,"15 dose vial","private","ped"
"96","DTaP/¤","GlaxoSmithKline","infanrix.ped","infanrix",2001-10-04,2001,18.5,"10 x 1 dose vial","private","ped"
"97","DTaP-Hib #","Aventis Pateur","trihibit.ped","trihibit",2001-10-04,2001,37.32,"5 x 1 dose vials","private","ped"
"98","e-IPV•¤","Aventis Pasteur","ipol.ped","ipol",2001-10-04,2001,15.42,"10 dose vial","private","ped"
"99","Hepatitis B-Hibi ¤","Merck","comvax.ped","comvax",2001-10-04,2001,40.09,"10 x 1 dose vials","private","ped"
"100","Hepatitis A Pediatric¤","Merck","vaqta.ped","vaqta",2001-10-04,2001,25.86,"5 x 1 dose vial","private","ped"
"101","Hepatitis A Pediatric¤","GlaxoSmithKline","havrix.ped","havrix",2001-10-04,2001,29.73,"10 x 1 dose vial","private","ped"
"102","Hepatitis A Adult¤","Merck","vaqta.adult","vaqta",2001-10-04,2001,51.71,"5 x 1 dose vials","private","adult"
"103","Hepatitis A Adult¤","GlaxoSmithKline","havrix.adult","havrix",2001-10-04,2001,59.45,"1 dose vial","private","adult"
"104","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","GlaxoSmithKline","engerixb.ped","engerixb",2001-10-04,2001,24.2,"10 x 1 dose vials","private","ped"
"105","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","Merck","recombivaxhb.ped","recombivaxhb",2001-10-04,2001,21.4,"10 x 1 dose vial","private","ped"
"106","Hepatitis B-Adult•","Merck","recombivaxhb.adult","recombivaxhb",2001-10-04,2001,56.2,"10 x 1 dose vials","private","adult"
"107","Hepatitis B-Adult•","GlaxoSmithKline","engerixb.adult","engerixb",2001-10-04,2001,51.73,"1 x 1 dose vial","private","adult"
"108","Hib•¤","Merck","pedvaxhib.ped","pedvaxhib",2001-10-04,2001,18.95,"10 x 1 dose vials","private","ped"
"109","Hib•¤","Wyeth/Lederle","hibtiter.ped","hibtiter",2001-10-04,2001,15.88,"5 x 1 dose vial","private","ped"
"110","Hib•¤","Aventis Pateur","acthib.ped","acthib",2001-10-04,2001,15.25,"5 x 1 dose vial","private","ped"
"111","MMR/¤","Merck","mmrii.ped","mmrii",2001-10-04,2001,28.35,"10 x 1 dose vials","private","ped"
"112","Measles•¤","Merck","attenuvax.ped","attenuvax",2001-10-04,2001,10.52,"10 x 1 dose vials","private","ped"
"113","Mumps•¤","Merck","mumpsvax.ped","mumpsvax",2001-10-04,2001,13.75,"10 x 1 dose vials","private","ped"
"114","Pneumococcal
7-valent•¤ (Pediatric)","Wyeth/Lederle","prevnar.ped","prevnar",2001-10-04,2001,58.75,"5 x 1 dose vial","private","ped"
"115","Rubella•¤","Merck","meuvaxii.ped","meuvaxii",2001-10-04,2001,11.77,"10 x 1 dose vials","private","ped"
"116","Varicella•¤","Merck","varivax.ped","varivax",2001-10-04,2001,49.13,"10 x 1 dose vial","private","ped"
"117","DTaP/¤","Aventis Pasteur","tripedia.ped","tripedia",2001-10-04,2001,10.65,"10 x 1 dose vial","cdc","ped"
"118","DTaP/","Aventis Pasteur","tripedia.ped","tripedia",2001-10-04,2001,10.65,"15 dose vial","cdc","ped"
"119","DTaP/¤","GlaxoSmithKline","infanrix.ped","infanrix",2001-10-04,2001,10.58,"10 x 1 dose vial","cdc","ped"
"120","DTaP-Hib #","Aventis Pateur","trihibit.ped","trihibit",2001-10-04,2001,22.01,"5 x 1 dose vials","cdc","ped"
"121","e-IPV•¤","Aventis Pasteur","ipol.ped","ipol",2001-10-04,2001,8.25,"10 dose vial","cdc","ped"
"122","Hepatitis B-Hibi ¤","Merck","comvax.ped","comvax",2001-10-04,2001,21.38,"10 x 1 dose vials","cdc","ped"
"123","Hepatitis A Pediatric¤","Merck","vaqta.ped","vaqta",2001-10-04,2001,11.15,"5 x 1 dose vial","cdc","ped"
"124","Hepatitis A Pediatric¤","GlaxoSmithKline","havrix.ped","havrix",2001-10-04,2001,11.15,"10 x 1 dose vial","cdc","ped"
"125","Hepatitis A Adult¤","Merck","vaqta.adult","vaqta",2001-10-04,2001,17.2,"5 x 1 dose vials","cdc","adult"
"126","Hepatitis A Adult¤","GlaxoSmithKline","havrix.adult","havrix",2001-10-04,2001,16.82,"1 dose vial","cdc","adult"
"127","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","GlaxoSmithKline","engerixb.ped","engerixb",2001-10-04,2001,9,"10 x 1 dose vials","cdc","ped"
"128","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","Merck","recombivaxhb.ped","recombivaxhb",2001-10-04,2001,9,"10 x 1 dose vial","cdc","ped"
"129","Hepatitis B 2 dose• Adolescent (11-15)","Merck","recombivaxhb.ped","recombivaxhb",2001-10-04,2001,23.75,"10 x 1 dose vials","cdc","ped"
"130","Hepatitis B-Adult•","Merck","recombivaxhb.adult","recombivaxhb",2001-10-04,2001,23.75,"10 x 1 dose vials","cdc","adult"
"131","Hepatitis B-Adult•","GlaxoSmithKline","engerixb.adult","engerixb",2001-10-04,2001,23.25,"1 x 1 dose vial","cdc","adult"
"132","Hib•¤","Merck","pedvaxhib.ped","pedvaxhib",2001-10-04,2001,8.1,"10 x 1 dose vials","cdc","ped"
"133","Hib•¤","Wyeth/Lederle","hibtiter.ped","hibtiter",2001-10-04,2001,6,"5 x 1 dose vial","cdc","ped"
"134","Hib•¤","Aventis Pateur","acthib.ped","acthib",2001-10-04,2001,5.75,"5 x 1 dose vial","cdc","ped"
"135","MMR/¤","Merck","mmrii.ped","mmrii",2001-10-04,2001,15.53,"10 x 1 dose vials","cdc","ped"
"136","Measles•¤","Merck","attenuvax.ped","attenuvax",2001-10-04,2001,6.9,"10 x 1 dose vials","cdc","ped"
"137","Mumps•¤","Merck","mumpsvax.ped","mumpsvax",2001-10-04,2001,9.24,"10 x 1 dose vials","cdc","ped"
"138","Pneumococcal
7-valent•¤ (Pediatric)","Wyeth/Lederle","prevnar.ped","prevnar",2001-10-04,2001,45.99,"5 x 1 dose vial","cdc","ped"
"139","Rubella•¤","Merck","meuvaxii.ped","meuvaxii",2001-10-04,2001,6.5,"10 x 1 dose vials","cdc","ped"
"140","Varicella•¤","Merck","varivax.ped","varivax",2001-10-04,2001,39.14,"10 x 1 dose vial","cdc","ped"
"141","DTaP/¤","Aventis Pasteur","tripedia.ped","tripedia",2001-12-05,2001,17.12,"10 x 1 dose vial","private","ped"
"142","DTaP/","Aventis Pasteur","tripedia.ped","tripedia",2001-12-05,2001,17.12,"15 dose vial","private","ped"
"143","DTaP/¤","GlaxoSmithKline","infanrix.ped","infanrix",2001-12-05,2001,18.5,"10 x 1 dose vial","private","ped"
"144","DTaP-Hib #","Aventis Pateur","trihibit.ped","trihibit",2001-12-05,2001,37.32,"5 x 1 dose vials","private","ped"
"145","e-IPV•¤","Aventis Pasteur","ipol.ped","ipol",2001-12-05,2001,15.42,"10 dose vial","private","ped"
"146","Hepatitis B-Hibi ¤","Merck","comvax.ped","comvax",2001-12-05,2001,40.09,"10 x 1 dose vials","private","ped"
"147","Hepatitis A Pediatric¤","Merck","vaqta.ped","vaqta",2001-12-05,2001,25.86,"5 x 1 dose vial","private","ped"
"148","Hepatitis A Pediatric¤","GlaxoSmithKline","havrix.ped","havrix",2001-12-05,2001,29.73,"10 x 1 dose vial","private","ped"
"149","Hepatitis A Adult¤","Merck","vaqta.adult","vaqta",2001-12-05,2001,51.71,"5 x 1 dose vials","private","adult"
"150","Hepatitis A Adult¤","GlaxoSmithKline","havrix.adult","havrix",2001-12-05,2001,59.45,"1 dose vial","private","adult"
"151","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","GlaxoSmithKline","engerixb.ped","engerixb",2001-12-05,2001,24.2,"10 x 1 dose vials","private","ped"
"152","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","Merck","recombivaxhb.ped","recombivaxhb",2001-12-05,2001,21.4,"10 x 1 dose vial","private","ped"
"153","Hepatitis B-Adult•","Merck","recombivaxhb.adult","recombivaxhb",2001-12-05,2001,56.2,"10 x 1 dose vials","private","adult"
"154","Hepatitis B-Adult•","GlaxoSmithKline","engerixb.adult","engerixb",2001-12-05,2001,51.73,"1 x 1 dose vial","private","adult"
"155","Hib•¤","Merck","pedvaxhib.ped","pedvaxhib",2001-12-05,2001,18.95,"10 x 1 dose vials","private","ped"
"156","Hib•¤","Wyeth/Lederle","hibtiter.ped","hibtiter",2001-12-05,2001,15.88,"5 x 1 dose vial","private","ped"
"157","Hib•¤","Aventis Pateur","acthib.ped","acthib",2001-12-05,2001,15.25,"5 x 1 dose vial","private","ped"
"158","MMR/¤","Merck","mmrii.ped","mmrii",2001-12-05,2001,28.35,"10 x 1 dose vials","private","ped"
"159","Measles•¤","Merck","attenuvax.ped","attenuvax",2001-12-05,2001,10.52,"10 x 1 dose vials","private","ped"
"160","Mumps•¤","Merck","mumpsvax.ped","mumpsvax",2001-12-05,2001,13.75,"10 x 1 dose vials","private","ped"
"161","Pneumococcal
7-valent•¤ (Pediatric)","Wyeth/Lederle","prevnar.ped","prevnar",2001-12-05,2001,58.75,"5 x 1 dose vial","private","ped"
"162","Rubella•¤","Merck","meuvaxii.ped","meuvaxii",2001-12-05,2001,11.77,"10 x 1 dose vials","private","ped"
"163","Varicella•¤","Merck","varivax.ped","varivax",2001-12-05,2001,49.13,"10 x 1 dose vial","private","ped"
"164","DTaP/¤","Aventis Pasteur","tripedia.ped","tripedia",2001-12-05,2001,10.65,"10 x 1 dose vial","cdc","ped"
"165","DTaP/","Aventis Pasteur","tripedia.ped","tripedia",2001-12-05,2001,10.65,"15 dose vial","cdc","ped"
"166","DTaP/¤","GlaxoSmithKline","infanrix.ped","infanrix",2001-12-05,2001,10.58,"10 x 1 dose vial","cdc","ped"
"167","DTaP-Hib #","Aventis Pateur","trihibit.ped","trihibit",2001-12-05,2001,22.01,"5 x 1 dose vials","cdc","ped"
"168","e-IPV•¤","Aventis Pasteur","ipol.ped","ipol",2001-12-05,2001,8.25,"10 dose vial","cdc","ped"
"169","Hepatitis B-Hibi ¤","Merck","comvax.ped","comvax",2001-12-05,2001,21.38,"10 x 1 dose vials","cdc","ped"
"170","Hepatitis A Pediatric¤","Merck","vaqta.ped","vaqta",2001-12-05,2001,11.15,"5 x 1 dose vial","cdc","ped"
"171","Hepatitis A Pediatric¤","GlaxoSmithKline","havrix.ped","havrix",2001-12-05,2001,11.15,"10 x 1 dose vial","cdc","ped"
"172","Hepatitis A Adult¤","Merck","vaqta.adult","vaqta",2001-12-05,2001,17.2,"5 x 1 dose vials","cdc","adult"
"173","Hepatitis A Adult¤","GlaxoSmithKline","havrix.adult","havrix",2001-12-05,2001,16.82,"1 dose vial","cdc","adult"
"174","Hepatitis A-Hepatitis B Adult¤","GlaxoSmithKline","twinrix.adult","twinrix",2001-12-05,2001,36.16,"10","cdc","adult"
"175","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","GlaxoSmithKline","engerixb.ped","engerixb",2001-12-05,2001,9,"10 x 1 dose vials","cdc","ped"
"176","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","Merck","recombivaxhb.ped","recombivaxhb",2001-12-05,2001,9,"10 x 1 dose vial","cdc","ped"
"177","Hepatitis B 2 dose• Adolescent (11-15)","Merck","recombivaxhb.ped","recombivaxhb",2001-12-05,2001,23.75,"10 x 1 dose vials","cdc","ped"
"178","Hepatitis B-Adult•","Merck","recombivaxhb.adult","recombivaxhb",2001-12-05,2001,23.75,"10 x 1 dose vials","cdc","adult"
"179","Hepatitis B-Adult•","GlaxoSmithKline","engerixb.adult","engerixb",2001-12-05,2001,23.25,"1 x 1 dose vial","cdc","adult"
"180","Hib•¤","Merck","pedvaxhib.ped","pedvaxhib",2001-12-05,2001,8.1,"10 x 1 dose vials","cdc","ped"
"181","Hib•¤","Wyeth/Lederle","hibtiter.ped","hibtiter",2001-12-05,2001,6,"5 x 1 dose vial","cdc","ped"
"182","Hib•¤","Aventis Pateur","acthib.ped","acthib",2001-12-05,2001,5.75,"5 x 1 dose vial","cdc","ped"
"183","MMR/¤","Merck","mmrii.ped","mmrii",2001-12-05,2001,15.53,"10 x 1 dose vials","cdc","ped"
"184","Measles•¤","Merck","attenuvax.ped","attenuvax",2001-12-05,2001,6.9,"10 x 1 dose vials","cdc","ped"
"185","Mumps•¤","Merck","mumpsvax.ped","mumpsvax",2001-12-05,2001,9.24,"10 x 1 dose vials","cdc","ped"
"186","Pneumococcal
7-valent•¤ (Pediatric)","Wyeth/Lederle","prevnar.ped","prevnar",2001-12-05,2001,45.99,"5 x 1 dose vial","cdc","ped"
"187","Rubella•¤","Merck","meuvaxii.ped","meuvaxii",2001-12-05,2001,6.5,"10 x 1 dose vials","cdc","ped"
"188","Varicella•¤","Merck","varivax.ped","varivax",2001-12-05,2001,39.14,"10 x 1 dose vial","cdc","ped"
"189","DTaP-Hib #","Aventis Pateur","trihibit.ped","trihibit",2002-04-19,2002,37.32,"5 x 1 dose vials","private","ped"
"190","e-IPV•¤","Aventis Pasteur","ipol.ped","ipol",2002-04-19,2002,15.42,"10 dose vial","private","ped"
"191","Hepatitis B-Hibi ¤","Merck","comvax.ped","comvax",2002-04-19,2002,40.09,"10 x 1 dose vials","private","ped"
"192","Hepatitis A Pediatric¤","Merck","vaqta.ped","vaqta",2002-04-19,2002,25.86,"5 x 1 dose vial","private","ped"
"193","Hepatitis A Pediatric¤","GlaxoSmithKline","havrix.ped","havrix",2002-04-19,2002,29.73,"10 x 1 dose vial","private","ped"
"194","Hepatitis A Adult¤","Merck","vaqta.adult","vaqta",2002-04-19,2002,51.71,"5 x 1 dose vials","private","adult"
"195","Hepatitis A Adult¤","GlaxoSmithKline","havrix.adult","havrix",2002-04-19,2002,59.45,"1 dose vial","private","adult"
"196","Hepatitis B•¤
Preservative Free Pediatric/Adolescent","GlaxoSmithKline","engerixb.ped","engerixb",2002-04-19,2002,24.2,"10 x 1 dose vials","private","ped"
"197","Hepatitis B•¤
Preservative Free Pediatric/Adolescent","Merck","recombivaxhb.ped","recombivaxhb",2002-04-19,2002,21.4,"10 x 1 dose vial","private","ped"
"198","Hepatitis B-Adult•","Merck","recombivaxhb.adult","recombivaxhb",2002-04-19,2002,56.2,"10 x 1 dose vials","private","adult"
"199","Hepatitis B-Adult•","GlaxoSmithKline","engerixb.adult","engerixb",2002-04-19,2002,51.73,"1 x 1 dose vial","private","adult"
"200","Hib•¤","Merck","pedvaxhib.ped","pedvaxhib",2002-04-19,2002,18.95,"10 x 1 dose vials","private","ped"
