"","vaccine","brandname_tradename","packaging","cdc_cost_dose","private_sector_cost_dose","contract_end_date","manufacturer","date","year","ndc","contract_number"
"11","Hepatitis
B-Adult•","RECOMBIVAX
HB®","1
dose vials
10 pack – 1 dose vials","$19.36
$21.23","$59.70
$59.09","6/30/06","Merck",2006-04-14,2006,NA,NA
"12","Hepatitis
B-Adult•","ENGERIX-B®","1
dose vials
10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$24.25
$24.25
$24.25","$51.38
$50.35
$50.35","6/30/06","GlaxoSmithKline",2006-04-14,2006,NA,NA
"13","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","10 pack of 5 dose vials","$14.00","$24.19","6/30/06","Merck",2006-04-14,2006,NA,NA
"14","Tetanus & Diphtheria Toxoids¤^","Tetanus & Diphtheria Toxoids Adsorbed for Adults","15 dose vials","$9.75","$14.99","6/30/06","Massachusetts Biologic Labs (Henry Schein Inc.)",2006-04-14,2006,NA,NA
"15","Hepatitis A Adult•","VAQTA®","1 dose vials
10 pack – 1 dose vials","$18.50
$18.50","$63.51
$59.99","6/30/07","Merck",2006-08-03,2006,NA,NA
"16","Hepatitis A Adult•","Havrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$19.33
$19.33","$54.98
$54.98","6/30/07","GlaxoSmithKline",2006-08-03,2006,NA,NA
"17","Hepatitis A-Hepatitis B Adult^","Twinrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$38.57
$38.57","$78.16
$78.42","6/30/07","GlaxoSmithKline",2006-08-03,2006,NA,NA
"18","Hepatitis B-Adult•","RECOMBIVAX HB®","1 dose vials
10 pack – 1 dose vials","$20.23
$22.19","$59.70
$59.09","6/30/07","Merck",2006-08-03,2006,NA,NA
"19","Hepatitis B-Adult•","ENGERIX-B®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$25.35
$25.35","$50.35
$50.35","6/30/07","GlaxoSmithKline",2006-08-03,2006,NA,NA
"20","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","10 pack – 5 dose vials","$14.65","$24.19","6/30/07","Merck",2006-08-03,2006,NA,NA
"21","Tetanus & Diphtheria Toxoids¤^","Tetanus & Diphtheria Toxoids Adsorbed for Adults","15 dose vials","$11.36","$14.99","6/30/07","Massachusetts Biologic Labs (Henry Schein Inc.)",2006-08-03,2006,NA,NA
"22","Hepatitis A Adult•","VAQTA®","1 dose vials
10 pack – 1 dose vials","$18.50
$18.50","$63.51
$59.99","6/30/07","Merck",2007-05-24,2007,NA,NA
"23","Hepatitis A Adult•","Havrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$18.86
$18.86","$54.98
$54.98","6/30/07","GlaxoSmithKline",2007-05-24,2007,NA,NA
"24","Hepatitis A-Hepatitis B Adult^","Twinrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$37.64
$37.64","$78.16
$78.42","6/30/07","GlaxoSmithKline",2007-05-24,2007,NA,NA
"25","Hepatitis B-Adult•","RECOMBIVAX HB®","1 dose vials
10 pack – 1 dose vials","$20.23
$22.19","$59.70
$59.09","6/30/07","Merck",2007-05-24,2007,NA,NA
"26","Hepatitis B-Adult•","ENGERIX-B®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$24.73
$24.73","$50.35
$50.35","6/30/07","GlaxoSmithKline",2007-05-24,2007,NA,NA
"27","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","1 pack – 5 dose vials","$14.65","$26.08","6/30/07","Merck",2007-05-24,2007,NA,NA
"28","Tetanus & Diphtheria Toxoids¤^","Tetanus & Diphtheria Toxoids Adsorbed for Adults","15 dose vials","$11.36","$14.99","6/30/07","Massachusetts Biologic Labs (Henry Schein Inc.)",2007-05-24,2007,NA,NA
"29","Zoster Vaccine, Live","Zostavax®","10 pack – 1 dose vials","$107.93","$145.35","6/30/07","Merck",2007-05-24,2007,NA,NA
"30","Hepatitis A Adult [5]","VAQTA®","1 dose vials
10 pack – 1 dose vials","$20.00
$19.75","$63.51
$59.99","6/30/09","Merck",2008-09-23,2008,NA,NA
"31","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$18.99
$18.99","$60.69
$60.69","6/30/09","GlaxoSmithKline",2008-09-23,2008,NA,NA
"32","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$38.64
$38.64","$86.44
$86.44","6/30/09","GlaxoSmithKline",2008-09-23,2008,NA,NA
"33","Hepatitis B-Adult [5]","RECOMBIVAX HB®","1 dose vials
10 pack – 1 dose vials","$23.78
$23.372","$59.70
$59.09","6/30/09","Merck",2008-09-23,2008,NA,NA
"34","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$24.90
$24.90","$52.50
$52.50","6/30/09","GlaxoSmithKline",2008-09-23,2008,NA,NA
"35","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","1 pack – 5 dose vials
10 pack – single dose 0.5 mL vials","$16.26
$18.93","$28.69
$32.20","6/30/09","Merck",2008-09-23,2008,NA,NA
"36","Tetanus & Diphtheria
Toxoids [6] [3]","Tetanus & Diphtheria Toxoids
Adsorbed for Adults No Preservative","10 pack – 1 dose vials","$13.50","$18.23","6/30/09","MassBioLogics
(Akorn, Inc)",2008-09-23,2008,NA,NA
"37","Zoster Vaccine Live","Zostavax®","10 pack – 1 dose vial
1 pack-single dose
0.65mL vials","$107.67
$113.16","$153.93
$161.50","6/30/09","Merck",2008-09-23,2008,NA,NA
"38","Hepatitis A Adult [5]","VAQTA®","1 dose vials
10 pack – 1 dose vials","$20.00
$19.75","$63.51
$59.99","6/30/09","Merck",2008-10-08,2008,NA,NA
"39","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$18.99
$18.99","$60.69
$60.69","6/30/09","GlaxoSmithKline",2008-10-08,2008,NA,NA
"40","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$38.64
$38.64","$86.44
$86.44","6/30/09","GlaxoSmithKline",2008-10-08,2008,NA,NA
"41","Hepatitis B-Adult [5]","RECOMBIVAX HB®","1 dose vials
10 pack – 1 dose vials","$23.78
$23.372","$59.70
$59.09","6/30/09","Merck",2008-10-08,2008,NA,NA
"42","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$24.90
$24.90","$52.50
$52.50","6/30/09","GlaxoSmithKline",2008-10-08,2008,NA,NA
"43","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","1 pack – 5 dose vials
10 pack – single dose 0.5 mL vials","$16.26
$18.93","$28.69
$32.20","6/30/09","Merck",2008-10-08,2008,NA,NA
"44","Tetanus & Diphtheria
Toxoids [6] [3]","Tetanus & Diphtheria Toxoids
Adsorbed for Adults No Preservative","10 pack – 1 dose vials","$13.50","$18.23","6/30/09","MassBioLogics
(Akorn, Inc)",2008-10-08,2008,NA,NA
"45","Zoster Vaccine Live","Zostavax®","10 pack – 1 dose vial
1 pack-single dose
0.65mL vials","$107.67
$113.16","$153.93
$161.50","6/30/09","Merck",2008-10-08,2008,NA,NA
"46","Hepatitis A Adult [5]","VAQTA®","1 dose vials
10 pack – 1 dose vials","$20.00
$19.75","$63.51
$59.99","6/30/09","Merck",2008-11-05,2008,NA,NA
"47","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$18.99
$18.99","$60.69
$60.69","6/30/09","GlaxoSmithKline",2008-11-05,2008,NA,NA
"48","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$38.64
$38.64","$86.44
$86.44","6/30/09","GlaxoSmithKline",2008-11-05,2008,NA,NA
"49","Hepatitis B-Adult [5]","RECOMBIVAX HB®","1 dose vials
10 pack – 1 dose vials6 pack – 1 dose prefilled syringe","$23.78
$23.372$25.30","$59.70
$59.09$61.22","6/30/09","Merck",2008-11-05,2008,NA,NA
"50","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$24.90
$24.90","$52.50
$52.50","6/30/09","GlaxoSmithKline",2008-11-05,2008,NA,NA
"51","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","1 pack – 5 dose vials
10 pack – single dose 0.5 mL vials","$16.26
$18.93","$28.69
$32.20","6/30/09","Merck",2008-11-05,2008,NA,NA
"52","Tetanus & Diphtheria
Toxoids [6] [3]","Tetanus & Diphtheria Toxoids
Adsorbed for Adults No Preservative","10 pack – 1 dose vials","$13.50","$18.23","6/30/09","MassBioLogics
(Akorn, Inc)",2008-11-05,2008,NA,NA
"53","Zoster Vaccine Live","Zostavax®","10 pack – 1 dose vial
1 pack-single dose
0.65mL vials","$107.67
$113.16","$153.93
$161.50","6/30/09","Merck",2008-11-05,2008,NA,NA
"54","Hepatitis A Adult [5]","VAQTA®","1 dose vials
10 pack – 1 dose vials","$20.00
$19.75","$63.51
$59.99","6/30/09","Merck",2008-11-25,2008,NA,NA
"55","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$18.99
$18.99","$60.69
$60.69","6/30/09","GlaxoSmithKline",2008-11-25,2008,NA,NA
"56","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$38.64
$38.64","$86.44
$86.44","6/30/09","GlaxoSmithKline",2008-11-25,2008,NA,NA
"57","Hepatitis B-Adult [5]","RECOMBIVAX HB®","1 dose vials
10 pack – 1 dose vials
6 pack – 1 dose prefilled syringe","$23.78
$23.372
$25.30","$59.70
$59.09
$61.22","6/30/09","Merck",2008-11-25,2008,NA,NA
"58","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$24.90
$24.90","$52.50
$52.50","6/30/09","GlaxoSmithKline",2008-11-25,2008,NA,NA
"59","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","1 pack – 5 dose vials
10 pack – single dose 0.5 mL vials","$16.26
$18.93","$32.99$37.03","6/30/09","Merck",2008-11-25,2008,NA,NA
"60","Tetanus & Diphtheria
Toxoids [6] [3]","Tetanus & Diphtheria Toxoids
Adsorbed for Adults No Preservative","10 pack – 1 dose vials","$13.50","$18.23","6/30/09","MassBioLogics
(Akorn, Inc)",2008-11-25,2008,NA,NA
"61","Zoster Vaccine Live","Zostavax®","10 pack – 1 dose vial
1 pack-single dose
0.65mL vials","$107.67
$113.16","$153.93
$161.50","6/30/09","Merck",2008-11-25,2008,NA,NA
"62","Hepatitis A Adult [5]","VAQTA®","1 dose vials
10 pack – 1 dose vials","$20.00
$19.75","$63.51
$59.99","6/30/09","Merck",2009-02-05,2009,NA,NA
"63","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$18.99
$18.99","$60.69
$60.69","6/30/09","GlaxoSmithKline",2009-02-05,2009,NA,NA
"64","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$38.64
$38.64","$86.44
$86.44","6/30/09","GlaxoSmithKline",2009-02-05,2009,NA,NA
"65","Hepatitis B-Adult [5]","RECOMBIVAX HB®","1 dose vials
10 pack – 1 dose vials
6 pack – 1 dose prefilled syringe","$23.78
$23.372
$25.30","$59.70
$59.09
$61.22","6/30/09","Merck",2009-02-05,2009,NA,NA
"66","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$24.90
$24.90","$52.50
$52.50","6/30/09","GlaxoSmithKline",2009-02-05,2009,NA,NA
"67","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","1 pack – 5 dose vials
10 pack – single dose 0.5 mL vials","$16.26
$18.93","$32.99
$37.03","6/30/09","Merck",2009-02-05,2009,NA,NA
"68","Tetanus & Diphtheria
Toxoids [3]","Tetanus & Diphtheria Toxoids
Adsorbed for Adults No Preservative","10 pack – 1 dose vials","$13.50","$18.23","6/30/09","MassBioLogics
(Akorn, Inc)",2009-02-05,2009,NA,NA
"69","Zoster Vaccine Live","Zostavax®","10 pack – 1 dose vial
1 pack-single dose 0.65mL vials","$107.67
$113.16","$153.93
$161.50","6/30/09","Merck",2009-02-05,2009,NA,NA
"70","Hepatitis A Adult [5]","VAQTA®","1 dose vials
10 pack – 1 dose vials","$20.00
$19.75","$63.51
$59.99","6/30/09","Merck",2009-04-06,2009,NA,NA
"71","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$18.99
$18.99","$60.69
$60.69","6/30/09","GlaxoSmithKline",2009-04-06,2009,NA,NA
"72","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$38.64
$38.64","$86.44
$86.44","6/30/09","GlaxoSmithKline",2009-04-06,2009,NA,NA
"73","Hepatitis B-Adult [5]","RECOMBIVAX HB®","1 dose vials
10 pack – 1 dose vials
6 pack – 1 dose prefilled syringe","$23.78
$23.372
$25.30","$59.70
$59.09
$61.22","6/30/09","Merck",2009-04-06,2009,NA,NA
"74","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$24.90
$24.90","$52.50
$52.50","6/30/09","GlaxoSmithKline",2009-04-06,2009,NA,NA
"75","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","1 pack – 5 dose vials
10 pack – single dose 0.5 mL vials","$16.26
$18.93","$32.99
$37.03","6/30/09","Merck",2009-04-06,2009,NA,NA
"76","Tetanus & Diphtheria
Toxoids [3]","Tetanus & Diphtheria Toxoids
Adsorbed for Adults No Preservative","10 pack – 1 dose vials","$13.50","$18.23","6/30/09","MassBioLogics
(Akorn, Inc)",2009-04-06,2009,NA,NA
"77","Zoster Vaccine Live","Zostavax®","10 pack – 1 dose vial
1 pack-single dose 0.65mL vials","$107.67
$113.16","$153.93
$161.50","6/30/09","Merck",2009-04-06,2009,NA,NA
"78","Hepatitis A Adult [5]","VAQTA®","1 dose vials
10 pack – 1 dose vials","$20.00
$19.75","$63.51
$59.99","6/30/09","Merck",2009-04-15,2009,NA,NA
"79","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$18.99
$18.99","$60.69
$60.69","6/30/09","GlaxoSmithKline",2009-04-15,2009,NA,NA
"80","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$38.64
$38.64","$86.44
$86.44","6/30/09","GlaxoSmithKline",2009-04-15,2009,NA,NA
"81","Hepatitis B-Adult [5]","RECOMBIVAX HB®","1 dose vials
10 pack – 1 dose vials6 pack – 1 dose prefilled syringe","$23.78
$23.372$25.30","$59.70
$59.09$61.22","6/30/09","Merck",2009-04-15,2009,NA,NA
"82","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$24.90
$24.90","$52.50
$52.50","6/30/09","GlaxoSmithKline",2009-04-15,2009,NA,NA
"83","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","1 pack – 5 dose vials
10 pack – single dose 0.5 mL vials","$16.26
$18.93","$32.99
$37.03","6/30/09","Merck",2009-04-15,2009,NA,NA
"84","Tetanus & Diphtheria
Toxoids [3]","Tetanus & Diphtheria Toxoids
Adsorbed for Adults No Preservative","10 pack – 1 dose vials","$13.50","$18.23","6/30/09","MassBioLogics
(Akorn, Inc)",2009-04-15,2009,NA,NA
"85","Zoster Vaccine Live","Zostavax®","10 pack – 1 dose vial
1 pack-single dose 0.65mL vials","$107.67
$113.16","$153.93
$161.50","6/30/09","Merck",2009-04-15,2009,NA,NA
"86","Hepatitis A Adult [5]","VAQTA®","1 dose vials
10 pack – 1 dose vials","$20.00
$19.75","$63.51
$59.99","6/30/09","Merck",2009-05-01,2009,NA,NA
"87","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$18.99
$18.99","$60.69
$60.69","6/30/09","GlaxoSmithKline",2009-05-01,2009,NA,NA
"88","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$38.64
$38.64","$86.44
$86.44","6/30/09","GlaxoSmithKline",2009-05-01,2009,NA,NA
"89","Hepatitis B-Adult [5]","RECOMBIVAX HB®","1 dose vials
10 pack – 1 dose vials
6 pack – 1 dose prefilled syringe","$23.78
$23.372
$25.30","$59.70
$59.09
$61.22","6/30/09","Merck",2009-05-01,2009,NA,NA
"90","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$24.90
$24.90","$52.50
$52.50","6/30/09","GlaxoSmithKline",2009-05-01,2009,NA,NA
"91","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","1 pack – 5 dose vials
10 pack – single dose 0.5 mL vials","$16.26
$18.93","$32.99
$37.03","6/30/09","Merck",2009-05-01,2009,NA,NA
"92","Tetanus & Diphtheria
Toxoids [3]","Tetanus & Diphtheria Toxoids
Adsorbed for Adults No Preservative","10 pack – 1 dose vials","$13.50","$18.23","6/30/09","MassBioLogics
(Akorn, Inc)",2009-05-01,2009,NA,NA
"93","Zoster Vaccine Live","Zostavax®","10 pack – 1 dose vial
1 pack-single dose 0.65mL vials","$107.67
$113.16","$153.93
$161.50","6/30/09","Merck",2009-05-01,2009,NA,NA
"94","Hepatitis A Adult [5]","VAQTA®","1 dose vials
10 pack – 1 dose vials","$20.00
$19.75","$63.51
$59.99","6/30/09","Merck",2009-05-26,2009,NA,NA
"95","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$18.99
$18.99","$60.69
$60.69","6/30/09","GlaxoSmithKline",2009-05-26,2009,NA,NA
"96","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$38.64
$38.64","$86.44
$86.44","6/30/09","GlaxoSmithKline",2009-05-26,2009,NA,NA
"97","Hepatitis B-Adult [5]","RECOMBIVAX HB®","1 dose vials
10 pack – 1 dose vials
6 pack – 1 dose prefilled syringe","$23.78
$23.372
$25.30","$59.70
$59.09
$61.22","6/30/09","Merck",2009-05-26,2009,NA,NA
"98","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$24.90
$24.90","$52.50
$52.50","6/30/09","GlaxoSmithKline",2009-05-26,2009,NA,NA
"99","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","1 pack – 5 dose vials
10 pack – single dose 0.5 mL vials","$16.26
$18.93","$32.99
$37.03","6/30/09","Merck",2009-05-26,2009,NA,NA
"100","Tetanus & Diphtheria
Toxoids [3]","Tetanus & Diphtheria Toxoids
Adsorbed for Adults No Preservative","10 pack – 1 dose vials","$13.50","$18.23","6/30/09","MassBioLogics
(Akorn, Inc)",2009-05-26,2009,NA,NA
"101","Zoster Vaccine Live","Zostavax®","10 pack – 1 dose vial
1 pack-single dose 0.65mL vials","$107.67
$113.16","$153.93
$161.50","6/30/09","Merck",2009-05-26,2009,NA,NA
"102","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$20.59
$20.59","$60.69
$60.69","6/30/2010","GlaxoSmithKline",2009-07-08,2009,NA,NA
"103","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$41.50
$41.50","$86.44
$86.44","6/30/2010","GlaxoSmithKline",2009-07-08,2009,NA,NA
"104","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$26.70
$26.70","$52.50
$52.50","6/30/2010","GlaxoSmithKline",2009-07-08,2009,NA,NA
"105","HPV -Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant Adult [5]","Gardasil®","10 pack – 1 dose vials","$90.591","$130.27","6/30/2010","Merck",2009-07-08,2009,NA,NA
"106","Measles, Mumps and Rubella-Adult [1]","MMR11®","10 pack – 1 dose vials","$34.065","$48.31","6/30/2010","Merck",2009-07-08,2009,NA,NA
"107","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","1 pack – 5 dose vials
10 pack – single dose 0.5 mL vials","$18.344
$21.472","$32.99
$37.03","6/30/2010","Merck",2009-07-08,2009,NA,NA
"108","Tetanus & Diphtheria
Toxoids [3]","Tetanus & Diphtheria Toxoids
Adsorbed for Adults No Preservative","10 pack – 1 dose vials","$13.53","$18.23","6/30/2010","Akorn, Inc",2009-07-08,2009,NA,NA
"109","Tetanus & Diphtheria
Toxoids [3]","Tetanus & Diphtheria Toxoids
Adsorbed for Adults No Preservative","10 pack – 1 dose vials","$13.25","","6/30/2010","MassBiologics",2009-07-08,2009,NA,NA
"110","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","ADACEL®","10 pack – 1 dose vials
5 pack – 1 dose    BD Leur-Lok syringes","$27.52
$27.86","$37.43
$37.43","6/30/2010","Sanofi Pasteur",2009-07-08,2009,NA,NA
"111","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","BOOSTRIX®","10 pack – 1 dose vials
5 pack – 1 dose TL syringes, No Needle","$26.48
$26.48","$37.55
$37.55","6/30/2010","GlaxoSmithKline",2009-07-08,2009,NA,NA
"112","Varicella-Adult [5]","Varivax®","10 pack – 1 dose vials","$55.983","$80.58","6/30/2010","Merck",2009-07-08,2009,NA,NA
"113","Zoster Vaccine Live","Zostavax®","10 pack – 1 dose vial
1 pack-single dose 0.65mL vials","$112.32
$117.67","$153.93
$161.50","6/30/2010","Merck",2009-07-08,2009,NA,NA
"114","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$20.59
$20.59","$60.69
$60.69","6/30/2010","GlaxoSmithKline",2009-08-03,2009,NA,NA
"115","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$41.50
$41.50","$86.44
$86.44","6/30/2010","GlaxoSmithKline",2009-08-03,2009,NA,NA
"116","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$26.70
$26.70","$52.50
$52.50","6/30/2010","GlaxoSmithKline",2009-08-03,2009,NA,NA
"117","HPV -Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant Adult [5]","Gardasil®","10 pack – 1 dose vials","$90.591","$130.27","6/30/2010","Merck",2009-08-03,2009,NA,NA
"118","Measles, Mumps and Rubella-Adult [1]","MMR11®","10 pack – 1 dose vials","$34.065","$48.31","6/30/2010","Merck",2009-08-03,2009,NA,NA
"119","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","1 pack – 5 dose vials
10 pack – single dose 0.5 mL vials","$18.344
$21.472","$32.99
$37.03","6/30/2010","Merck",2009-08-03,2009,NA,NA
"120","Tetanus & Diphtheria
Toxoids [3]","Tetanus & Diphtheria Toxoids
Adsorbed for Adults No Preservative","10 pack – 1 dose vials","$13.53","$18.23","6/30/2010","Akorn, Inc",2009-08-03,2009,NA,NA
"121","Tetanus & Diphtheria
Toxoids [3]","Tetanus & Diphtheria Toxoids
Adsorbed for Adults No Preservative","10 pack – 1 dose vials","$13.25","","6/30/2010","MassBiologics",2009-08-03,2009,NA,NA
"122","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","ADACEL®","10 pack – 1 dose vials
5 pack – 1 dose    BD Leur-Lok syringes","$27.52
$27.86","$37.43
$37.43","6/30/2010","Sanofi Pasteur",2009-08-03,2009,NA,NA
"123","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","BOOSTRIX®","10 pack – 1 dose vials
5 pack – 1 dose TL syringes, No Needle","$26.48
$26.48","$37.55
$37.55","6/30/2010","GlaxoSmithKline",2009-08-03,2009,NA,NA
"124","Varicella-Adult [5]","Varivax®","10 pack – 1 dose vials","$55.983","$80.58","6/30/2010","Merck",2009-08-03,2009,NA,NA
"125","Zoster Vaccine Live","Zostavax®","10 pack – 1 dose vial
1 pack-single dose 0.65mL vials","$112.32
$117.67","$153.93
$161.50","6/30/2010","Merck",2009-08-03,2009,NA,NA
"126","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$20.59
$20.59","$60.69
$60.69","6/30/2010","GlaxoSmithKline",2009-08-07,2009,NA,NA
"127","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes, No Needle","$41.50
$41.50","$86.44
$86.44","6/30/2010","GlaxoSmithKline",2009-08-07,2009,NA,NA
