"","vaccine","brandname_tradename","packaging","cdc_cost_dose","contract_end_date","manufacturer","date","year","private_sector_cost_dose","ndc","contract_number"
"25","Pneumococcal (Adult)","Pnu-Imune®","5 dose vial","$5.606","6/10/01","Wyeth/Lederle",2001-04-06,2001,"",NA,NA
"26","Rubella• ¤","Meuvax II®","10 x 1 dose vials","$6.50","3/31/02","Merck",2001-04-06,2001,"$11.457",NA,NA
"27","Varicella• ¤","Varivax®","10 x 1 dose vial","$39.14","3/31/02","Merck",2001-04-06,2001,"$45.56",NA,NA
"28","DTaP/¤","Tripedia®","10 x 1 dose vial","$10.65","3/31/02","Aventis
Pasteur",2001-08-02,2001,"$17.12",NA,NA
"29","DTaP/","Tripedia®","15 dose vial
10 x 1 dose vial","$10.65","3/31/02","Aventis Pasteur",2001-08-02,2001,"$17.12",NA,NA
"30","DTaP/¤","Infanrix®","10 x 1 dose vial","$10.58","3/31/02","GlaxoSmithKline",2001-08-02,2001,"$18.50",NA,NA
"31","DTaP-Hib #","TriHIBit®","5 x 1 dose vials","$22.01","3/31/02","Aventis Pateur",2001-08-02,2001,"$37.32",NA,NA
"32","e-IPV•¤","IPOL®","10 dose vial
10 x 1 dose syringe","$8.25","3/31/02","Aventis Pasteur",2001-08-02,2001,"$15.42",NA,NA
"33","Hepatitis B-Hibi ¤","COMVAX®","10 x 1 dose vials","$21.38","3/31/02","Merck",2001-08-02,2001,"$38.25",NA,NA
"34","Hepatitis
A Pediatric¤","VAQTA®","5 x 1 dose vial
5 x 1 dose syringes","$11.15","3/31/02","Merck",2001-08-02,2001,"$25.17",NA,NA
"35","Hepatitis
A Pediatric¤","Havrix®","10 x
1 dose vial
1 dose vial
5 x 1 dose TipLok
25 x 1 dose TipLok","$11.15","3/31/02","GlaxoSmithKline",2001-08-02,2001,"$29.73",NA,NA
"36","Hepatitis
A Adult¤","VAQTA®","5 x 1 dose vials
5 x 1 dose syringe","$17.20","6/30/02","Merck",2001-08-02,2001,"",NA,NA
"37","Hepatitis
A Adult¤","Havrix®","1
dose vial
1 dose TIP-LOK
5 x 1 dose TIP-LOK","$16.82","6/30/02","GlaxoSmithKline",2001-08-02,2001,"$59.45",NA,NA
"38","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","ENGERIX B®","10 x 1 dose vials
5 x 1 dose 23G TipLok
5 x 1 dose 25G TipLok
25 x 1 dose 23G TipLok
25 x 1 dose 25G TipLok","$9.00","3/31/02","GlaxoSmithKline",2001-08-02,2001,"$24.20",NA,NA
"39","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","RECOMBIVAX HB®","10 x 1 dose vial","$9.00","3/31/02","Merck",2001-08-02,2001,"$20.37",NA,NA
"40","Hepatitis B 2 dose•
Adolescent (11-15)","RECOMBIVAX HB®","10 x 1 dose vials
5 x 1 dose syringes","$23.75","3/31/02","Merck",2001-08-02,2001,"",NA,NA
"41","Hepatitis B-Adult","RECOMBIVAX HB®","10 x 1 dose vials 10 x 3 dose vial
5 x 1 dose syringe","$23.75","6/30/02","Merck",2001-08-02,2001,"$51.73",NA,NA
"42","Hepatitis B-Adult•","ENGERIX-B®","1 x 1 dose vial 5 x 1
dose Tiplok
25 x 1 dose Tiplok","$23.25","6/30/02","GlaxoSmithKline",2001-08-02,2001,"$51.73",NA,NA
"43","Hib•¤","PedvaxHIB®","10 x 1 dose vials","$8.10","3/31/02","Merck",2001-08-02,2001,"$18.12",NA,NA
"44","Hib•¤","HibTITER®","5 x 1 dose vial","$6.00","3/31/02","Wyeth/Lederle",2001-08-02,2001,"$15.88",NA,NA
"45","Hib•¤","ActHIB®","5 x 1 dose vial","$5.75","3/31/02","Aventis Pateur",2001-08-02,2001,"$15.25",NA,NA
"46","Influenza","Fluzone®","10 dose vial","$4.40","1/31/02","Aventis Pasteur",2001-08-02,2001,"$5.00",NA,NA
"47","Influenza","Fluvirin®","10 dose vial","$4.475","1/31/02","GIV (Evans)",2001-08-02,2001,"",NA,NA
"48","MMR/¤","MMR II®","10 x 1 dose vials","$15.53","3/31/02","Merck",2001-08-02,2001,"$28.19",NA,NA
"49","Measles•¤","Attenuvax®","10 x 1 dose vials","$6.90","3/31/02","Merck",2001-08-02,2001,"$10.40",NA,NA
"50","Mumps•¤","Mumpsvax®","10 x 1 dose vials","$9.24","3/31/02","Merck",2001-08-02,2001,"$13.36",NA,NA
"51","Pneumococcal
7-valent•¤ (Pediatric)","Prevnar®","5 x 1 dose vial","$45.99","3/31/02","Wyeth/Lederle",2001-08-02,2001,"$58.75",NA,NA
"52","Rubella•¤","Meuvax II®","10 x 1 dose vials","$6.50","3/31/02","Merck",2001-08-02,2001,"$11.457",NA,NA
"53","Varicella•¤","Varivax®","10 x 1 dose vial","$39.14","3/31/02","Merck",2001-08-02,2001,"$45.56",NA,NA
"54","DTaP/¤","Tripedia®","10 x 1 dose vial","$10.65","3/31/02","Aventis Pasteur",2001-10-04,2001,"$17.12",NA,NA
"55","DTaP/","Tripedia®","15 dose vial
10 x 1 dose vial","$10.65","3/31/02","Aventis Pasteur",2001-10-04,2001,"$17.12",NA,NA
"56","DTaP/¤","Infanrix®","10 x 1 dose vial","$10.58","3/31/02","GlaxoSmithKline",2001-10-04,2001,"$18.50",NA,NA
"57","DTaP-Hib #","TriHIBit®","5 x 1 dose vials","$22.01","3/31/02","Aventis Pateur",2001-10-04,2001,"$37.32",NA,NA
"58","e-IPV•¤","IPOL®","10 dose vial
10 x 1 dose syringe","$8.25","3/31/02","Aventis Pasteur",2001-10-04,2001,"$15.42",NA,NA
"59","Hepatitis B-Hibi ¤","COMVAX®","10 x 1 dose vials","$21.38","3/31/02","Merck",2001-10-04,2001,"$40.09",NA,NA
"60","Hepatitis A Pediatric¤","VAQTA®","5 x 1 dose vial
5 x 1 dose syringes","$11.15","3/31/02","Merck",2001-10-04,2001,"$25.86",NA,NA
"61","Hepatitis A Pediatric¤","Havrix®","10 x 1 dose vial
1 dose vial
5 x 1 dose TipLok
25 x 1 dose TipLok","$11.15","3/31/02","GlaxoSmithKline",2001-10-04,2001,"$29.73",NA,NA
"62","Hepatitis A Adult¤","VAQTA®","5 x 1 dose vials
5 x 1 dose syringe","$17.20","6/30/02","Merck",2001-10-04,2001,"$51.71",NA,NA
"63","Hepatitis A Adult¤","Havrix®","1 dose vial
1 dose TIP-LOK
5 x 1 dose TIP-LOK","$16.82","6/30/02","GlaxoSmithKline",2001-10-04,2001,"$59.45",NA,NA
"64","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","ENGERIX B®","10 x 1 dose vials
5 x 1 dose 23G TipLok
5 x 1 dose 25G TipLok
25×1 dose 23G TipLok
25×1 dose 25G TipLok","$9.00","3/31/02","GlaxoSmithKline",2001-10-04,2001,"$24.20",NA,NA
"65","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","RECOMBIVAX HB®","10 x 1 dose vial","$9.00","3/31/02","Merck",2001-10-04,2001,"$21.40",NA,NA
"66","Hepatitis B 2 dose• Adolescent (11-15)","RECOMBIVAX HB®","10 x 1 dose vials
5 x 1 dose syringes","$23.75","3/31/02","Merck",2001-10-04,2001,"",NA,NA
"67","Hepatitis B-Adult•","RECOMBIVAX HB®","10 x 1 dose vials
10 x 3 dose vial
5 x 1 dose syringe","$23.75","6/30/02","Merck",2001-10-04,2001,"$56.20",NA,NA
"68","Hepatitis B-Adult•","ENGERIX-B®","1 x 1 dose vial
5 x 1 dose Tiplok
25 x 1 dose Tiplok","$23.25","6/30/02","GlaxoSmithKline",2001-10-04,2001,"$51.73",NA,NA
"69","Hib•¤","PedvaxHIB®","10 x 1 dose vials","$8.10","3/31/02","Merck",2001-10-04,2001,"$18.95",NA,NA
"70","Hib•¤","HibTITER®","5 x 1 dose vial","$6.00","3/31/02","Wyeth/Lederle",2001-10-04,2001,"$15.88",NA,NA
"71","Hib•¤","ActHIB®","5 x 1 dose vial","$5.75","3/31/02","Aventis Pateur",2001-10-04,2001,"$15.25",NA,NA
"72","Influenza","Fluzone®","10 dose vial","$4.40","1/31/02","Aventis Pasteur",2001-10-04,2001,"$5.00",NA,NA
"73","Influenza","Fluvirin®","10 dose vial","$4.475","1/31/02","GIV (Evans)",2001-10-04,2001,"",NA,NA
"74","MMR/¤","MMRII®","10 x 1 dose vials","$15.53","3/31/02","Merck",2001-10-04,2001,"$28.35",NA,NA
"75","Measles•¤","Attenuvax®","10 x 1 dose vials","$6.90","3/31/02","Merck",2001-10-04,2001,"$10.52",NA,NA
"76","Mumps•¤","Mumpsvax®","10 x 1 dose vials","$9.24","3/31/02","Merck",2001-10-04,2001,"$13.75",NA,NA
"77","Pneumococcal
7-valent•¤ (Pediatric)","Prevnar®","5 x 1 dose vial","$45.99","3/31/02","Wyeth/Lederle",2001-10-04,2001,"$58.75",NA,NA
"78","Rubella•¤","Meuvax II®","10 x 1 dose vials","$6.50","3/31/02","Merck",2001-10-04,2001,"$11.77",NA,NA
"79","Varicella•¤","Varivax®","10 x 1 dose vial","$39.14","3/31/02","Merck",2001-10-04,2001,"$49.13",NA,NA
"80","DTaP/¤","Tripedia®","10 x 1 dose vial","$10.65","3/31/02","Aventis Pasteur",2001-12-05,2001,"$17.12",NA,NA
"81","DTaP/","Tripedia®","15 dose vial
10 x 1 dose vial","$10.65","3/31/02","Aventis Pasteur",2001-12-05,2001,"$17.12",NA,NA
"82","DTaP/¤","Infanrix®","10 x 1 dose vial","$10.58","3/31/02","GlaxoSmithKline",2001-12-05,2001,"$18.50",NA,NA
"83","DTaP-Hib #","TriHIBit®","5 x 1 dose vials","$22.01","3/31/02","Aventis Pateur",2001-12-05,2001,"$37.32",NA,NA
"84","e-IPV•¤","IPOL®","10 dose vial
10 x 1 dose syringe","$8.25","3/31/02","Aventis Pasteur",2001-12-05,2001,"$15.42",NA,NA
"85","Hepatitis B-Hibi ¤","COMVAX®","10 x 1 dose vials","$21.38","3/31/02","Merck",2001-12-05,2001,"$40.09",NA,NA
"86","Hepatitis A Pediatric¤","VAQTA®","5 x 1 dose vial
5 x 1 dose syringes","$11.15","3/31/02","Merck",2001-12-05,2001,"$25.86",NA,NA
"87","Hepatitis A Pediatric¤","Havrix®","10 x 1 dose vial
1 dose vial
5 x 1 dose TipLok
25 x 1 dose TipLok","$11.15","3/31/02","GlaxoSmithKline",2001-12-05,2001,"$29.73",NA,NA
"88","Hepatitis A Adult¤","VAQTA®","5 x 1 dose vials
5 x 1 dose syringe","$17.20","6/30/02","Merck",2001-12-05,2001,"$51.71",NA,NA
"89","Hepatitis A Adult¤","Havrix®","1 dose vial
1 dose TIP-LOK
5 x 1 dose TIP-LOK","$16.82","6/30/02","GlaxoSmithKline",2001-12-05,2001,"$59.45",NA,NA
"90","Hepatitis A-Hepatitis B Adult¤","Twinris®","10
x 1dose vial
5 x 1 dose TIP-LOK","$36.16","6/30/02","GlaxoSmithKline",2001-12-05,2001,"",NA,NA
"91","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","ENGERIX B®","10 x 1 dose vials
5 x 1 dose 23G TipLok
5 x 1 dose 25G TipLok
25×1 dose 23G TipLok
25×1 dose 25G TipLok","$9.00","3/31/02","GlaxoSmithKline",2001-12-05,2001,"$24.20",NA,NA
"92","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","RECOMBIVAX HB®","10 x 1 dose vial","$9.00","3/31/02","Merck",2001-12-05,2001,"$21.40",NA,NA
"93","Hepatitis B 2 dose• Adolescent (11-15)","RECOMBIVAX HB®","10 x 1 dose vials
5 x 1 dose syringes","$23.75","3/31/02","Merck",2001-12-05,2001,"",NA,NA
"94","Hepatitis B-Adult•","RECOMBIVAX HB®","10 x 1 dose vials
10 x 3 dose vial
5 x 1 dose syringe","$23.75","6/30/02","Merck",2001-12-05,2001,"$56.20",NA,NA
"95","Hepatitis B-Adult•","ENGERIX-B®","1 x 1 dose vial
5 x 1 dose Tiplok
25 x 1 dose Tiplok","$23.25","6/30/02","GlaxoSmithKline",2001-12-05,2001,"$51.73",NA,NA
"96","Hib•¤","PedvaxHIB®","10 x 1 dose vials","$8.10","3/31/02","Merck",2001-12-05,2001,"$18.95",NA,NA
"97","Hib•¤","HibTITER®","5 x 1 dose vial","$6.00","3/31/02","Wyeth/Lederle",2001-12-05,2001,"$15.88",NA,NA
"98","Hib•¤","ActHIB®","5 x 1 dose vial","$5.75","3/31/02","Aventis Pateur",2001-12-05,2001,"$15.25",NA,NA
"99","Influenza","Fluzone®","10 dose vial","$4.40","1/31/02","Aventis Pasteur",2001-12-05,2001,"$5.00",NA,NA
"100","Influenza","Fluvirin®","10 dose vial","$4.475","1/31/02","GIV (Evans)",2001-12-05,2001,"",NA,NA
"101","MMR/¤","MMRII®","10 x 1 dose vials","$15.53","3/31/02","Merck",2001-12-05,2001,"$28.35",NA,NA
"102","Measles•¤","Attenuvax®","10 x 1 dose vials","$6.90","3/31/02","Merck",2001-12-05,2001,"$10.52",NA,NA
"103","Mumps•¤","Mumpsvax®","10 x 1 dose vials","$9.24","3/31/02","Merck",2001-12-05,2001,"$13.75",NA,NA
"104","Pneumococcal
7-valent•¤ (Pediatric)","Prevnar®","5 x 1 dose vial","$45.99","3/31/02","Wyeth/Lederle",2001-12-05,2001,"$58.75",NA,NA
"105","Rubella•¤","Meuvax II®","10 x 1 dose vials","$6.50","3/31/02","Merck",2001-12-05,2001,"$11.77",NA,NA
"106","Varicella•¤","Varivax®","10 x 1 dose vial","$39.14","3/31/02","Merck",2001-12-05,2001,"$49.13",NA,NA
"107","DTaP/¤","Tripedia®","10 x 1 dose vial","$13.25","3/31/03","Aventis Pasteur",2002-04-19,2002,"",NA,NA
"108","DTaP/¤","Infanrix®","10 x 1 dose vial
25 x 1 dose TIP-LOK","$11.75
$12.20","3/31/03
3/31/03","GlaxoSmithKline",2002-04-19,2002,"",NA,NA
"109","DTaP-Hib #","TriHIBit®","5 x 1 dose vials","$23.40","3/31/03","Aventis Pateur",2002-04-19,2002,"$37.32",NA,NA
"110","e-IPV•¤","IPOL®","10 dose vial
10 x 1 dose syringe","$8.80","3/31/03","Aventis Pasteur",2002-04-19,2002,"$15.42",NA,NA
"111","Hepatitis B-Hibi ¤","COMVAX®","10 x 1 dose vials","$21.83","3/31/03","Merck",2002-04-19,2002,"$40.09",NA,NA
"112","Hepatitis A Pediatric¤","VAQTA®","5 x 1 dose vial
5 x 1 dose syringes","$11.15","3/31/03","Merck",2002-04-19,2002,"$25.86",NA,NA
"113","Hepatitis A Pediatric¤","Havrix®","10 x 1 dose vial
1 dose vial
5 x 1 dose TipLok
25 x 1 dose TipLok “Safety”
25 x 1 dose TipLok","$11.15
$11.15
$11.60
$11.80$11.60","3/31/03","GlaxoSmithKline",2002-04-19,2002,"$29.73",NA,NA
"114","Hepatitis A Adult¤","VAQTA®","5 x 1 dose vials
5 x 1 dose syringe","$17.20","6/30/02","Merck",2002-04-19,2002,"$51.71",NA,NA
"115","Hepatitis A Adult¤","Havrix®","1 dose vial
1 dose TIP-LOK
5 x 1 dose TIP-LOK","$16.82","6/30/02","GlaxoSmithKline",2002-04-19,2002,"$59.45",NA,NA
"116","Hepatitis A-Hepatitis B Adult¤","Twinris®","10 x 1dose vial
5 x 1 dose TIP-LOK","$36.16","6/30/02","GlaxoSmithKline",2002-04-19,2002,"",NA,NA
"117","Hepatitis B•¤
Preservative Free Pediatric/Adolescent","ENGERIX B®","10 x 1 dose vials
5 x 1 dose
25×1 dose TipLok 23G
25×1 dose TipLok 25G
1×1 dose TipLok","$9.85
$10.30
$10.50$10.30
$9.85","3/31/03","GlaxoSmithKline",2002-04-19,2002,"$24.20",NA,NA
"118","Hepatitis B•¤
Preservative Free Pediatric/Adolescent","RECOMBIVAX HB®","10 x 1 dose vial","$9.00","3/31/03","Merck",2002-04-19,2002,"$21.40",NA,NA
"119","Hepatitis B 2 dose•
Adolescent (11-15)","RECOMBIVAX HB®","10 x 1 dose vials
5 x 1 dose syringes","$24.25","3/31/03","Merck",2002-04-19,2002,"",NA,NA
"120","Hepatitis B-Adult•","RECOMBIVAX HB®","10 x 1 dose vials
10 x 3 dose vial
5 x 1 dose syringe","$23.75","6/30/02","Merck",2002-04-19,2002,"$56.20",NA,NA
"121","Hepatitis B-Adult•","ENGERIX-B®","1 x 1 dose vial
5 x 1 dose Tiplok
25 x 1 dose Tiplok","$23.25","6/30/02","GlaxoSmithKline",2002-04-19,2002,"$51.73",NA,NA
"122","Hib•¤","PedvaxHIB®","10 x 1 dose vials","$8.32","3/31/03","Merck",2002-04-19,2002,"$18.95",NA,NA
"123","Hib•¤","HibTITER®","5 x 1 dose vial","$7.33","3/31/03","Wyeth/Lederle",2002-04-19,2002,"$15.88",NA,NA
"124","Hib•¤","ActHIB®","5 x 1 dose vial","$7.25","3/31/03","Aventis Pateur",2002-04-19,2002,"$15.25",NA,NA
"125","MMR/¤","MMRII®","10 x 1 dose vials","$15.64","3/31/03","Merck",2002-04-19,2002,"$28.35",NA,NA
"126","Pneumococcal
7-valent•¤ (Pediatric)","Prevnar®","5 x 1 dose vial","$45.99","3/31/03","Wyeth/Lederle",2002-04-19,2002,"$58.75",NA,NA
"127","Rubella•¤","Meuvax II®","10 x 1 dose vials","$6.54","3/31/03","Merck",2002-04-19,2002,"$11.77",NA,NA
"128","Varicella•¤","Varivax®","10 x 1 dose vial","$41.44","3/31/03","Merck",2002-04-19,2002,"$49.13",NA,NA
"129","DTaP/¤","Tripedia®","10 x 1 dose vial","$13.25","3/31/03","Aventis Pasteur",2002-05-20,2002,"$14.15",NA,NA
"130","DTaP/¤","Infanrix®","10 x 1 dose vial
25 x 1 dose TIP-LOK","$11.75
$12.20","3/31/03
3/31/03","GlaxoSmithKline",2002-05-20,2002,"",NA,NA
"131","DTaP-Hib #","TriHIBit®","5 x 1 dose vials","$23.40","3/31/03","Aventis Pateur",2002-05-20,2002,"$37.32",NA,NA
"132","e-IPV•¤","IPOL®","10 dose vial
10 x 1 dose syringe","$8.80","3/31/03","Aventis Pasteur",2002-05-20,2002,"$15.42",NA,NA
"133","Hepatitis B-Hibi ¤","COMVAX®","10 x 1 dose vials","$21.83","3/31/03","Merck",2002-05-20,2002,"$40.09",NA,NA
"134","Hepatitis A Pediatric¤","VAQTA®","10 x 1 dose
vial","$11.15","3/31/03","Merck",2002-05-20,2002,"$25.86",NA,NA
"135","Hepatitis A Pediatric¤","Havrix®","10 x 1 dose vial
1 dose vial
5 x 1 dose TipLok
25 x 1 dose TipLok
“Safety”
25 x 1 dose TipLok","$11.15
$11.15
$11.60
$11.80$11.60","3/31/03","GlaxoSmithKline",2002-05-20,2002,"$29.73",NA,NA
"136","Hepatitis A Adult¤","VAQTA®","5 x 1 dose vials
5 x 1 dose syringe","$17.20","6/30/02","Merck",2002-05-20,2002,"$51.71",NA,NA
"137","Hepatitis A Adult¤","Havrix®","1 dose vial
1 dose TIP-LOK
5 x 1 dose TIP-LOK","$16.82","6/30/02","GlaxoSmithKline",2002-05-20,2002,"$59.45",NA,NA
"138","Hepatitis
A-Hepatitis B 18 only¤","Twinrix®","Singe
dose vial","$36.16","6/30/02","GlaxoSmithKline",2002-05-20,2002,"",NA,NA
"139","Hepatitis
A-Hepatitis B Adult¤","Twinrix®","10
x 1dose vial
5 x 1 dose TIP-LOK","$36.16","6/30/02","GlaxoSmithKline",2002-05-20,2002,"",NA,NA
"140","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","ENGERIX B®","10 x 1 dose vials
5 x 1 dose TipLok
25×1 dose TipLok 23Gx1 dose TipLok
25×1 dose TipLok
1×1 dose","$9.85
$10.30
$10.50$10.30
$9.85","3/31/03","GlaxoSmithKline",2002-05-20,2002,"$24.20",NA,NA
"141","Hepatitis B•¤ Preservative Free Pediatric/Adolescent","RECOMBIVAX HB®","10 x 1 dose vial","$9.00","3/31/03","Merck",2002-05-20,2002,"$21.40",NA,NA
"142","Hepatitis B 2 dose• Adolescent (11-15)","RECOMBIVAX HB®","10 x 1 dose vials","$24.25","3/31/03","Merck",2002-05-20,2002,"",NA,NA
"143","Hepatitis B-Adult•","RECOMBIVAX HB®","10 x 1 dose vials
10 x 3 dose vial
5 x 1 dose syringe","$23.75","6/30/02","Merck",2002-05-20,2002,"$56.20",NA,NA
"144","Hepatitis B-Adult•","ENGERIX-B®","1 x 1 dose vial
5 x 1 dose Tiplok
25 x 1 dose Tiplok","$23.25","6/30/02","GlaxoSmithKline",2002-05-20,2002,"$51.73",NA,NA
"145","Hib•¤","PedvaxHIB®","10 x 1 dose vials","$8.32","3/31/03","Merck",2002-05-20,2002,"$18.95",NA,NA
"146","Hib•¤","HibTITER®","5 x 1 dose vial","$7.33","3/31/03","Wyeth/Lederle",2002-05-20,2002,"$15.88",NA,NA
"147","Hib•¤","ActHIB®","5 x 1 dose vial","$7.25","3/31/03","Aventis
Pasteur",2002-05-20,2002,"$15.25",NA,NA
"148","Influenza","Fluzone","10
dose vials","$5.525","1/31/03","Aventis
Pasteur",2002-05-20,2002,"",NA,NA
"149","MMR/¤","MMRII®","10
dose vial","$15.64","3/31/03","Merck",2002-05-20,2002,"$28.35",NA,NA
"150","Pneumococcal
7-valent•¤ (Pediatric)","Prevnar®","5 x 1 dose vial","$45.99","3/31/03","Wyeth/Lederle",2002-05-20,2002,"$58.75",NA,NA
"151","Rubella•¤","Meuvax II®","10 x 1 dose vials","$6.54","3/31/03","Merck",2002-05-20,2002,"$11.77",NA,NA
"152","Varicella•¤","Varivax®","10 x 1 dose vial","$41.44","3/31/03","Merck",2002-05-20,2002,"$49.13",NA,NA
"153","DTaP/","Tripedia®
DAPTACEL®","10
x 1 dose vial
10 x 1 dose vial","$11.75
$12.75","3/31/04
3/31/04","Aventis
Pasteur",2003-10-06,2003,"$21.40
$22.04",NA,NA
"154","DTaP/","Infanrix®","10
x 1 dose vial
5 x 1 dose TIP-LOK syringe","$12.75
$12.75","3/31/04
3/31/04","GlaxoSmithKline",2003-10-06,2003,"$19.65",NA,NA
"155","DTaP-Hep
B-IPV*","Pediarix®","10
x 1 dose vial
5 x 1 dose syringe","$32.75
$32.75","3/31/04
3/31/04","GlaxoSmithKline",2003-10-06,2003,"$69.41
$69.41",NA,NA
"156","DTaP-Hib #","TriHIBit®","5 x 1 dose vials","$23.40","3/31/04","Aventis Pateur",2003-10-06,2003,"$41.72",NA,NA
"157","e-IPV•","IPOL®","10
dose vial","$9.96","3/31/04","Aventis Pasteur",2003-10-06,2003,"$21.80",NA,NA
"158","Hepatitis B-Hib^","COMVAX®","10
x 1 dose vials","$21.83","3/31/04","Merck",2003-10-06,2003,"$43.56",NA,NA
"159","Hepatitis A Pediatric","VAQTA®","10 x 1 dose vial","$11.15","3/31/04","Merck",2003-10-06,2003,"$29.62",NA,NA
"160","Hepatitis A Pediatric","Havrix®","1 dose vial
10 x 1 dose vial
5 x 1 T-L Syr No Needle
25 x 1 T-L Syr No Needle
25 x 1 T-L Syr 1"" 25g Needle","$11.15
$11.15
$11.15
$11.15
$11.15","3/31/04","GlaxoSmithKline",2003-10-06,2003,"$26.14",NA,NA
"161","Hepatitis
A Adult","VAQTA®","10
x 1 dose vials
1 dose vial","$17.75","6/30/04","Merck",2003-10-06,2003,"$59.24
$62.76",NA,NA
"162","Hepatitis
A Adult","Havrix®","1 dose TIP-LOK
5 x 1 dose TIP-LOK","$17.75
$17.75","6/30/04","GlaxoSmithKline",2003-10-06,2003,"$52.40",NA,NA
"163","Hepatitis A-Hepatitis B Adult•","Twinrix®","10
x 1 dose vial
5 x 1 dose Syr, No Needles","$36.16
$36.16","6/30/04","GlaxoSmithKline",2003-10-06,2003,"$78.41",NA,NA
